ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Selected_Count,Expected_Count,Default_Count,Default_Indexes,Result,Error
Acrylic-Grimdark-0040,Acrylic,Printify_UI_Mockups4,69f8937bbe136844f0004b36,,4,4,1,0,OK,
Poster-Academia-0017,Poster,Printify_Published_Mockups8,69f89a94c1f268dee601cb9d,406903730229,8,4,2,0|4,CHECK,
Poster-Academia-0019,Poster,Printify_Published_Mockups8,69f89b9ca70f06579a00a708,406903744471,8,4,2,0|4,CHECK,
Poster-Academia-0020,Poster,Printify_Published_Mockups8,69f89c6f09f3b730240221b8,406903748661,8,4,2,0|4,CHECK,
Poster-Academia-0021,Poster,Printify_Published_Mockups8,69f89da69f68ab7cf001f531,406903754696,8,4,2,0|4,CHECK,
Poster-Academia-0022,Poster,Printify_Published_Mockups8,69f89eac011b67ecf8077844,406903758348,8,4,2,0|4,CHECK,
Poster-Academia-0023,Poster,Printify_UI_Mockups8,69f89fda2592a8ad8e0f2e79,,8,4,2,0|4,CHECK,
Poster-Academia-0024,Poster,Printify_UI_Mockups8,69f8a454c1f268dee601d3ad,,8,4,2,0|4,CHECK,
Poster-Academia-0025,Poster,Printify_UI_Mockups4,69f903dec1f268dee601f679,,4,4,1,0,OK,
Poster-Academia-0026,Poster,Printify_UI_Mockups4,69f904df97d964f736006a48,,4,4,1,0,OK,
Poster-Academia-0027,Poster,Printify_UI_Mockups4,69f90607feed9979d10d40e7,,4,4,1,0,OK,
Poster-Academia-0028,Poster,Printify_UI_Mockups4,69f907b49f68ab7cf0022003,,4,4,1,0,OK,
