ID,Folder_Status,Reasons,Asset,Width,Height,Sharpness,Bytes
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,904.01,1059369
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,693.01,1116022
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,66.32,51093
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,96.55,43058
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,370.3,52139
Sticker-Zen-0033,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,335.14,50115
Sticker-Zen-0034,ok,,Cover,1800,1800,2944.1,2924068
Sticker-Zen-0034,ok,,Production,1664,1664,2897.26,2661822
Sticker-Zen-0034,ok,,U1,1024,1024,2357.17,1075781
Sticker-Zen-0034,ok,,U2,1024,1024,2182.61,1047081
Sticker-Zen-0034,ok,,U3,1024,1024,2210.02,935139
Sticker-Zen-0034,ok,,U4,1024,1024,2048.89,763291
Sticker-Zen-0035,ok,,Cover,1800,1800,2233.87,2873519
Sticker-Zen-0035,ok,,Production,1664,1664,2233.04,2726330
Sticker-Zen-0035,ok,,U1,1024,1024,3991.39,1042182
Sticker-Zen-0035,ok,,U2,1024,1024,3035.95,901961
Sticker-Zen-0035,ok,,U3,1024,1024,2399.35,941103
Sticker-Zen-0035,ok,,U4,1024,1024,2771.47,827355
Sticker-Zen-0036,ok,,Cover,1800,1800,759.31,1101036
Sticker-Zen-0036,ok,,Production,1664,1664,553.75,1362523
Sticker-Zen-0036,ok,,U1,1024,1024,1826.67,902422
Sticker-Zen-0036,ok,,U2,1024,1024,2093.51,962586
Sticker-Zen-0036,ok,,U3,1024,1024,2480.24,1120722
Sticker-Zen-0036,ok,,U4,1024,1024,2298.92,1023773
Sticker-Zen-0037,ok,,Cover,1800,1800,2256.72,3331142
Sticker-Zen-0037,ok,,Production,1664,1664,2352.74,3790014
Sticker-Zen-0037,ok,,U1,1024,1024,1532.35,491442
Sticker-Zen-0037,ok,,U2,1024,1024,2537.45,2151508
Sticker-Zen-0037,ok,,U3,1024,1024,1744.29,1071852
Sticker-Zen-0037,ok,,U4,1024,1024,1601.33,842282
Sticker-Zen-0038,ok,,Cover,1800,1800,2539.41,3183892
Sticker-Zen-0038,ok,,Production,1664,1664,2717.07,3176119
Sticker-Zen-0038,ok,,U1,1024,1024,4075.39,1105542
Sticker-Zen-0038,ok,,U2,1024,1024,1597.42,1053584
Sticker-Zen-0038,ok,,U3,1024,1024,2827.97,1038381
Sticker-Zen-0038,ok,,U4,1024,1024,3155.52,988001
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,904.01,1059369
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,693.01,1116022
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,66.32,51093
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,96.55,43058
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,370.3,52139
Sticker-Zen-0039,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,335.14,50115
Sticker-Zen-0040,ok,,Cover,1800,1800,3128.9,3475405
Sticker-Zen-0040,ok,,Production,1664,1664,2046.95,1998763
Sticker-Zen-0040,ok,,U1,1024,1024,2971.35,1087031
Sticker-Zen-0040,ok,,U2,1024,1024,3419.81,1154470
Sticker-Zen-0040,ok,,U3,1024,1024,1348.36,1005458
Sticker-Zen-0040,ok,,U4,1024,1024,4646.34,1191563
Sticker-Zen-0041,ok,,Cover,1800,1800,2539.41,3183892
Sticker-Zen-0041,ok,,Production,1664,1664,2717.07,3176119
Sticker-Zen-0041,ok,,U1,1024,1024,2862.31,1362272
Sticker-Zen-0041,ok,,U2,1024,1024,3256.4,1256704
Sticker-Zen-0041,ok,,U3,1024,1024,3170.3,1506593
Sticker-Zen-0041,ok,,U4,1024,1024,2638.54,1319287
Sticker-Zen-0042,ok,,Cover,1800,1800,1316.69,2723304
Sticker-Zen-0042,ok,,Production,1664,1664,987.21,3020970
Sticker-Zen-0042,ok,,U1,1024,1024,3142.47,1034160
Sticker-Zen-0042,ok,,U2,1024,1024,3217.83,1287568
Sticker-Zen-0042,ok,,U3,1024,1024,2873.75,1083105
Sticker-Zen-0042,ok,,U4,1024,1024,3302.65,1200291
Sticker-Zen-0044,ok,,Cover,1800,1800,1259.66,1087420
Sticker-Zen-0044,ok,,Production,1664,1664,760.66,1110183
Sticker-Zen-0044,ok,,U1,1024,1024,3417.42,2227244
Sticker-Zen-0044,ok,,U2,1024,1024,1626.92,1951642
Sticker-Zen-0044,ok,,U3,1024,1024,1682.47,464036
Sticker-Zen-0044,ok,,U4,1024,1024,2456.45,1645738
Sticker-Zen-0045,ok,,Cover,1800,1800,3219.17,4362776
Sticker-Zen-0045,ok,,Production,1664,1664,3189.15,3740827
Sticker-Zen-0045,ok,,U1,1024,1024,3269.17,1513782
Sticker-Zen-0045,ok,,U2,1024,1024,2978.08,1398650
Sticker-Zen-0045,ok,,U3,1024,1024,2541.79,1454495
Sticker-Zen-0045,ok,,U4,1024,1024,1911.0,1195876
Sticker-Zen-0046,ok,,Cover,1800,1800,2915.08,3882156
Sticker-Zen-0046,ok,,Production,1664,1664,2096.52,2591758
Sticker-Zen-0046,ok,,U1,1024,1024,2588.67,1286967
Sticker-Zen-0046,ok,,U2,1024,1024,2343.42,1095268
Sticker-Zen-0046,ok,,U3,1024,1024,5000.44,1760314
Sticker-Zen-0046,ok,,U4,1024,1024,1715.27,820996
Sticker-Zen-0048,ok,,Cover,1800,1800,3180.15,4556194
Sticker-Zen-0048,ok,,Production,1664,1664,2888.64,3948502
Sticker-Zen-0048,ok,,U1,1024,1024,3417.42,2227244
Sticker-Zen-0048,ok,,U2,1024,1024,1626.92,1951642
Sticker-Zen-0048,ok,,U3,1024,1024,1682.47,464036
Sticker-Zen-0048,ok,,U4,1024,1024,2456.45,1645738
Sticker-Zen-0049,ok,,Cover,1800,1800,3805.69,5042743
Sticker-Zen-0049,ok,,Production,1664,1664,2767.7,3437460
Sticker-Zen-0049,ok,,U1,1024,1024,4621.12,1964858
Sticker-Zen-0049,ok,,U2,1024,1024,1996.88,1531526
Sticker-Zen-0049,ok,,U3,1024,1024,4509.78,1732292
Sticker-Zen-0049,ok,,U4,1024,1024,2711.16,1218443
Sticker-Zen-0050,ok,,Cover,1800,1800,3248.3,3694384
Sticker-Zen-0050,ok,,Production,1664,1664,2829.86,2953801
Sticker-Zen-0050,ok,,U1,1024,1024,3099.72,1387698
